id;age;gender;race;driving_experience;education;income;credit_score;vehicle_ownership;vehicle_year;married;children;postal_code;annual_mileage;vehicle_type;speeding_violations;DUIs;past_accidents;outcome
569520;65+;female;majority;0-9y;high school;upper class;0.629027313918201;TRUE;after 2015;FALSE;TRUE;10238;12000.0;sedan;0;0;0;FALSE
750365;16-25;male;majority;0-9y;none;poverty;0.3577571170184627;FALSE;before 2015;FALSE;FALSE;10238;16000.0;sedan;0;0;0;TRUE
199901;16-25;female;majority;0-9y;high school;working class;0.4931457852181982;TRUE;before 2015;FALSE;FALSE;10238;11000.0;sedan;0;0;0;FALSE
478866;16-25;male;majority;0-9y;university;working class;0.2060128507324556;TRUE;before 2015;FALSE;TRUE;32765;11000.0;sedan;0;0;0;FALSE
731664;26-39;male;majority;10-19y;none;working class;0.3883658881572184;TRUE;before 2015;FALSE;FALSE;32765;12000.0;sedan;2;0;1;TRUE
877557;40-64;female;majority;20-29y;high school;upper class;0.6191273725847388;TRUE;after 2015;FALSE;TRUE;10238;13000.0;sedan;3;0;3;FALSE
930134;65+;male;majority;30y+;high school;upper class;0.4929435502195342;FALSE;after 2015;TRUE;TRUE;10238;13000.0;sedan;7;0;3;FALSE
461006;26-39;female;majority;0-9y;university;working class;0.46868929743446497;FALSE;after 2015;FALSE;TRUE;10238;14000.0;sedan;0;0;0;TRUE
68366;40-64;female;majority;20-29y;university;working class;0.5218149362971065;FALSE;before 2015;TRUE;FALSE;10238;13000.0;sedan;0;0;0;FALSE
445911;40-64;female;majority;0-9y;high school;upper class;0.5615310319383646;TRUE;before 2015;FALSE;TRUE;32765;11000.0;sedan;0;0;0;TRUE
275820;65+;male;majority;30y+;high school;upper class;0.6203612640126029;TRUE;after 2015;TRUE;TRUE;10238;10000.0;sedan;6;2;7;FALSE
521399;65+;female;majority;30y+;high school;upper class;0.7298308815593941;TRUE;after 2015;TRUE;FALSE;32765;12000.0;sedan;4;0;0;FALSE
429728;40-64;male;majority;20-29y;high school;upper class;0.6370447435902447;TRUE;before 2015;TRUE;TRUE;10238;8000.0;sedan;4;1;2;FALSE
569640;16-25;female;majority;0-9y;university;upper class;0.59125997174597;TRUE;before 2015;FALSE;TRUE;10238;;sedan;0;0;0;FALSE
980181;26-39;male;majority;10-19y;high school;middle class;0.4615679630439447;TRUE;before 2015;TRUE;TRUE;10238;12000.0;sedan;0;2;1;FALSE
906223;26-39;female;majority;0-9y;high school;upper class;0.7627979410816134;FALSE;after 2015;TRUE;FALSE;10238;;sedan;0;0;0;FALSE
